web-scraper-order,web-scraper-start-url,next,prod,prod-href,name,price,dis
"1696071067-1","https://robotcomp.ru/category/computers/","https://robotcomp.ru/category/computers/?page=2","Компьютер для офиса Казначей","https://robotcomp.ru/product/kompjuter-dlja-ofisa-kaznachej/","Компьютер для офиса Казначей , Арт. 024002","36 686,85 Р","Intel Core i5 10400 2.9-4.3 GHz 6 Core  / 8GB DDR4 / 480GB SSD / Intel UHD Graphics 630 / H510M / 500W / 3 года гарантия"
"1696071094-2","https://robotcomp.ru/category/computers/","https://robotcomp.ru/category/computers/?page=2","Игровой компьютер F-22 Raptor V2","https://robotcomp.ru/product/igrovoi-komputer-f-22-raptor-V2/","Игровой компьютер F-22 Raptor V2 , Арт. 003003","49 344,20 Р","Intel Core i3 12100F 3.3-4.3 GHz - 4 Core / 16GB DDR4 / 480GB SSD / GeForce GTX 1650 4Gb / H610M / 500W / Windows 10 Home / Гарантия 3 года"
"1696071123-3","https://robotcomp.ru/category/computers/","https://robotcomp.ru/category/computers/?page=2","Компьютер для офиса Бухгалтер","https://robotcomp.ru/product/kompjuter-dlja-ofisa-buhgalter/","Компьютер для офиса Бухгалтер , Арт. 036002","38 857,75 Р","Intel Core i5 12400 2.5 - 4.4 Ghz 6 Core / 16GB DDR4 / 512GB SSD Pcie 4x / H610M / Intel UHD Graphics 730 / 500W / Гарантия 3 года"
"1696071210-4","https://robotcomp.ru/category/computers/","https://robotcomp.ru/category/computers/?page=2","Компьютер для графики А. Премьер","https://robotcomp.ru/product/kompjuter-premier/","Компьютер для графики А. Премьер , Арт. 017003","161 851,90 Р","Intel Core i9 12900F 2.4 - 5.1 Ghz 16 Core / 32GB DDR4 3000MHZ / 2000GB HDD / 960GB PCI-e SSD / Quadro P2000 5Gb / Z690 / 800W / Windows 10 Home / Гарантия 3 года"
"1696071383-5","https://robotcomp.ru/category/computers/","https://robotcomp.ru/category/computers/?page=2","Компьютер для офиса Секретарь","https://robotcomp.ru/product/kompjuter-dlja-ofisa-sekretar/","Компьютер для офиса Секретарь , Арт. 022002","21 146,30 Р",""
"1696071476-6","https://robotcomp.ru/category/computers/","https://robotcomp.ru/category/computers/?page=2","Компьютер для офиса Проектировщик","https://robotcomp.ru/product/kompjuter-dlja-ofisa-proektirovshik/","Компьютер для офиса Проектировщик , Арт. 025002","75 277,70 Р","Intel Core i7-12700F 2.1-4.9 GHz - 8 Core / 16GB DDR4 / 1000GB HDD / 512GB SSD Pcie 4x / GeForce GT 1030 2Gb / B660M / 600W / Гарантия 3 года"
"1696071622-7","https://robotcomp.ru/category/computers/","https://robotcomp.ru/category/computers/?page=2","Компьютер для видеомонтажа GRAFIX","https://robotcomp.ru/product/professionalnyy-kompyuter-dlya-videomontazha-grafix/","Компьютер для видеомонтажа GRAFIX , Арт. 012002","136 190,40 Р","Intel Core i5-12400F 2.5-4.4 GHz - 6 Core / 16GB DDR4 3200Mhz / 1000GB HDD / 512GB Pci-E SSD / NVIDIA Quadro RTX A2000 12GB / B660M / 600W / Гарантия 3 года"
"1696071663-8","https://robotcomp.ru/category/computers/","https://robotcomp.ru/category/computers/?page=2","Компьютер для видеомонтажа Рендер","https://robotcomp.ru/product/moshchnyy-kompyuter-dlya-videomontazha-render/","Компьютер для видеомонтажа Рендер , Арт. 013003","151 717,35 Р","Базовая конфигурация:"
"1696071715-9","https://robotcomp.ru/category/computers/","https://robotcomp.ru/category/computers/?page=2","Компьютер для графики Фотолаб","https://robotcomp.ru/product/fotolab/","Компьютер для графики Фотолаб , Арт. 015002","97 653,95 Р","Intel Core i5 12400F 2.9-4.4 GHz - 6 ядра / 16GB DDR4 2666 / 480GB SSD Pci-E / Quadro P2000 5GB / H610M / Powercase Mistral Micro T3W / Гарантия 3 года"
"1696071756-10","https://robotcomp.ru/category/computers/","https://robotcomp.ru/category/computers/?page=2","Игровой компьютер Stinger","https://robotcomp.ru/product/igrovoi-komputer-stinger/","Игровой компьютер Stinger , Арт. 035002","40 308,70 Р","Intel Core i5 10400F 2.9-4.3 GHz / 16GB DDR4 / 480GB SSD M2 4x / NVidia GT 1030 2Gb / B560M / 500W / Гарантия 3 года"
"1696071802-11","https://robotcomp.ru/category/computers/","https://robotcomp.ru/category/computers/?page=2","Игровой компьютер Star","https://robotcomp.ru/product/kompyuter-star/","Игровой компьютер Star , Арт. go9800","23 466,80 Р","**Star** - начальный игровой компьютер на базе четырёхъядерного процессора AMD Athlon 3000G 3.5GHz со встроенной графикой AMD Radeon Vega 3. Компьютер поможет как в учебе и работе, так и в развлекательных целях. Для быстрой и приятной работы мы установили скоростной SSD диск на 480Гб, который увеличивает скорость работы компьютера в 2-3 раза."
